id;opis;energia_(kcal);woda_(g);masa_kałowa_(g);białko_(g);tłuszcze_(g);węglowodany_(g);cukry_proste_(g);tłuszcze_nasycone_(g);witamina_d_(µg);----;----;----
16242;SILK PLUS FOR BONE HEALTH,SOYMILK;41;90,92;0,64;2,47;1,44;4,53;2,88;0,206;1,2;0,36563981042654;0,046825;1,57291666666667
16243;SILK PLUS FIBER,SOYMILK;41;89,69;0,64;2,47;1,44;5,76;2,88;0,206;1,2;0,319131334022751;0,0514375;2
16244;SILK UNSWTND,SOYMILK;33;93,18;0,64;2,88;1,65;1,65;0,41;0,206;0;0,099676375404531;0,0406875;4,02439024390244
16245;SILK VERY VANILLA,SOYMILK;53;87,41;0,65;2,47;1,65;7,82;6,58;0,206;1,2;0,568341708542714;0,0612625;1,18844984802432
16246;SILK NOG,SOYMILK;74;82,96;0,65;2,46;1,64;12,3;9,84;0;0;0,6;0,0779;1,25
16247;SILK CHAI,SOYMILK;53;87,62;0,65;2,47;1,44;7,82;5,76;0,206;0,8;0,508610400682012;0,0591625;1,35763888888889
16248;SILK MOCHA,SOYMILK;58;86,8;0,65;2,06;1,44;9,05;7,41;0,206;;0,606852589641434;0,0612125;1,22132253711201
16249;SILK COFFEE,SOYMILK;62;85,56;0,65;2,06;1,44;10,29;9,47;0,206;;0,701667875271936;0,0658625;1,08658922914467
16250;SILK VANILLA SOY YOGURT (FAMILY SIZE);79;80,7;1,24;2,64;1,76;13,66;10,57;0,22;1,3;0,597452934662237;0,085325;1,29233680227058
16251;SILK VANILLA SOY YOGURT (SINGLE SERVING SIZE);88;79,35;1,24;2,94;1,76;14,71;10,59;0;;0,545595054095827;0,0911375;1,3890462700661
16252;SILK PLN SOY YOGURT;66;84,67;1,24;2,64;1,76;9,69;5,29;0,22;1,3;0,391057487579844;0,0704375;1,83175803402647
16253;SILK STRAWBERRY SOY YOGURT;94;77;1,24;2,35;1,18;18,24;12,94;0;;0,594395957740009;0,0948875;1,40958268933539
16254;SILK RASPBERRY SOY YOGURT;88;77,59;1,24;2,35;1,18;17,65;12,94;0;;0,6109537299339;0,092675;1,36398763523957
16255;SILK PEACH SOY YOGURT;94;76,41;1,24;2,35;1,18;18,82;14,71;0;;0,658165548098434;0,0970625;1,2794017675051
16256;SILK BLACK CHERRY SOY YOGURT;88;78,18;1,24;2,35;1,18;17,06;11,76;0;;0,571151044196212;0,0904625;1,45068027210884
16257;SILK BLUEBERRY SOY YOGURT;88;78,18;1,24;2,35;1,18;17,06;12,35;0;;0,599805730937348;0,0904625;1,38137651821862
16258;SILK KEY LIME SOY YOGURT;88;77,59;1,24;2,35;1,18;17,65;12,35;0;;0,583097261567517;0,092675;1,42914979757085
16259;SILK BANANA-STRAWBERRY SOY YOGURT;88;78,18;1,24;2,35;1,18;17,06;10,59;0;;0,514327343370568;0,0904625;1,6109537299339
16260;SILK ORIGINAL CREAMER;100;86,29;0,38;0;6,67;6,67;0;0;;0;0,0917125;0
16261;SILK FRENCH VANILLA CREAMER;133;72,95;0,38;0;6,67;20;20;0;;0,749906261717285;0,1417;1
16262;SILK HAZELNUT CREAMER;133;72,95;0,38;0;6,67;20;20;0;;0,749906261717285;0,1417;1
16271;VITASOY USA ORGANIC NASOYA,SOFT TOFU;70;85,8;1,2;8,76;3,5;0,74;0,3;0,5;;0,061538461538462;0,092525;2,46666666666667
16272;VITASOY USA NASOYA,LITE SILKEN TOFU;43;89,8;1,3;8,21;1,1;0;;0,2;3,8;0,021482277121375;0,0623125;0
16273;VITASOY USA ORGANIC NASOYA,TOFU PLUS EX FIRM;92;81,8;1,3;10,18;4,9;1,82;0,4;0,6;2,5;0,059171597633136;0,11945;4,55
16274;VITASOY USA ORGANIC NASOYA,TOFU PLUS FIRM;74;84,5;1,2;9,19;3,4;1,71;0,3;0,3;2,5;0,041958041958042;0,09785;5,7
16275;VITASOY USA ORGANIC NASOYA SPROUTED,TOFU PLUS SUPER FIRM;115;77,3;1,4;13,24;5,9;2,16;1,1;1,1;2,5;0,103286384976526;0,14985;1,96363636363636
16276;VITASOY USA AZUMAYA,EX FIRM TOFU;88;82,5;1,3;10,07;4,6;1,53;0,5;0,6;;0,067901234567901;0,114675;3,06
16277;VITASOY USA AZUMAYA,FIRM TOFU;80;84;1,2;9,08;4,2;1,52;0,4;0,5;;0,060810810810811;0,10445;3,8
16278;VITASOY USA AZUMAYA,SILKEN TOFU;43;91,4;0,8;4,82;2,4;0,58;0,2;0,3;;0,064102564102564;0,0563;2,9
16279;HOUSE FOODS PREMIUM SOFT TOFU;59;88,08;0,64;6,38;2,71;2,19;0,53;0,48;;0,089539007092199;0,0751875;4,13207547169811
16281;HOUSE FOODS PREMIUM FIRM TOFU;85;82,87;1,05;10,92;4,19;0,97;0,4;0,71;;0,069029850746269;0,1137875;2,425
16302;BEANS,ADZUKI,MATURE SD,CKD,BLD,W/SALT;128;66,29;1,33;7,52;0,1;24,77;;0,036;0;0,001111454152516;0,1408875;0
16315;BEANS,BLACK,MATURE SEEDS,CKD,BLD,W/SALT;132;65,74;1,15;8,86;0,54;23,71;0,32;0,139;0;0,013862881304742;0,1496875;74,09375
16316;BEANS,BLACK,MATURE SEEDS,CND,LO NA;91;75,64;1,49;6,03;0,29;16,55;0,23;0,075;0;0,013336248360297;0,10265;71,9565217391304
16317;BEANS,BLACK TURTLE,MATURE SEEDS,CKD,BLD,W/ SALT;130;65,74;1,38;8,18;0,35;24,35;0,32;0,089;0;0,012439172749392;0,1459375;76,09375
16320;BEANS,CRANBERRY (ROMAN),MATURE SEEDS,CKD,BLD,W/SALT;136;64,65;1,09;9,34;0,46;24,46;;0,119;0;0,003473438412142;0,1547;0
16323;BEANS,FRENCH,MATURE SEEDS,CKD,BLD,W/SALT;129;66,57;1,61;7,05;0,76;24,02;;0,083;0;0,002607602890355;0,1417375;0
16325;BEANS,GREAT NORTHERN,MATURE SEEDS,CKD,BLD,W/SALT;118;69;1,14;8,33;0,45;21,09;;0,14;0;0,0046869768999;0,13565;0
16326;BEANS,GREAT NORTHERN,MATURE SEEDS,CND,LO NA;114;69,89;1,33;7,37;0,39;21,02;1,41;0,12;0;0,05316191799861;0,1287875;14,9078014184397
16328;BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,CKD,BLD,W/SALT;127;66,94;1,09;8,67;0,5;22,8;0,32;0,072;0;0,012261495151705;0,1446875;71,25
16331;BEANS,KIDNEY,CALIFORNIA RED,MATURE SEEDS,CKD,BLD,W/SALT;124;66,93;1,44;9,13;0,09;22,41;;0,014;0;0,000442617767942;0,142;0
16333;BEANS,KIDNEY,RED,MATURE SEEDS,CKD,BLD,W/SALT;127;66,94;1,09;8,67;0,5;22,8;0,32;0,072;0;0,012261495151705;0,1446875;71,25
16335;BEANS,KIDNEY,RED,MATURE SEEDS,CND,DRND SOL,RINSED IN TAP H2O;121;68,86;1,29;8,12;0,93;20,8;;0,328;0;0,010988274706868;0,13805;0
16336;BEANS,KIDNEY,ROYAL RED,MATURE SEEDS,CKD,BLD W/SALT;123;66,99;1,5;9,49;0,17;21,85;;0,024;0;0,000761662964138;0,14295;0
16337;BEANS,KIDNEY,RED,MATURE SEEDS,CND,SOL & LIQ,LO NA;81;77,96;1,64;5,22;0,36;14,83;1,85;0,125;0;0,096766291033807;0,0918375;8,01621621621622
16338;BEANS,NAVY,MATURE SEEDS,CKD,BLD,W/SALT;140;63,81;1,3;8,23;0,62;26,05;0,37;0,032;0;0,011518624641834;0,155325;70,4054054054054
16341;BEANS,PINK,MATURE SEEDS,CKD,BLD,W/SALT;149;61,2;1,34;9,06;0,49;27,91;0,36;0,126;0;0,012973838761346;0,1661875;77,5277777777778
16343;BEANS,PINTO,MATURE SEEDS,CKD,BLD,W/SALT;143;62,95;1,17;9,01;0,65;26,22;0,34;0,109;0;0,012513935340022;0,1611375;77,1176470588235
16345;BEANS,PINTO,MATURE SEEDS,CND,DRND SOL,RINSED IN TAP H2O;117;70;1,22;7,04;0,97;20,77;;;0;0;0,1315875;0
16346;BEANS,SML WHITE,MATURE SEEDS,CKD,BLD,W/SALT;142;63,24;1,34;8,97;0,64;25,81;;0,166;0;0,004686617730096;0,15925;0
16347;BEANS,PINTO,MATURE SEEDS,CND,SOL & LIQUIDS,LO NA;82;78,19;1,48;4,6;0,56;15,18;1,02;0,116;0;0,055850540806293;0,091275;14,8823529411765
16348;BEANS,YEL,MATURE SEEDS,CKD,BLD,W/SALT;144;62,98;1,5;9,16;1,08;25,28;0,34;0,279;0;0,017426801801802;0,16285;74,3529411764706
16350;BEANS,WHITE,MATURE SEEDS,CKD,BLD,W/ SALT;139;63,08;1,75;9,73;0,35;25,09;0,34;0,091;0;0,012254762581746;0,1584;73,7941176470588
16353;BROADBEANS (FAVA BNS),MATURE SEEDS,CKD,BLD,W/SALT;110;71,54;0,81;7,6;0,4;19,65;1,82;0,066;0;0,068209764918626;0,1251875;10,7967032967033
16357;CHICKPEAS,MATURE SEEDS,CKD,BLD,W/SALT;164;60,21;0,92;8,86;2,59;27,42;4,8;0,269;0;0,130409055827116;0,1841;5,7125
16358;CHICKPEAS,MAT SEEDS,CND,DRND SOL;139;66,72;0,91;7,05;2,77;22,53;4,01;0,214;0;0,130571870170015;0,15625;5,61845386533666
16359;CHICKPEAS,MATURE SEEDS,CND,DRND,RINSED IN TAP H2O;138;66,87;0,74;7,04;2,47;22,87;4;0,213;0;0,130111179740581;0,1544625;5,7175
16360;CHICKPEAS,MATURE SEEDS,CND,SOL & LIQUIDS,LO NA;88;78,55;1,09;4,92;1,95;13,49;2,59;0,204;0;0,137229862475442;0,1008375;5,20849420849421
16361;COWPEAS,CATJANG,MATURE SEEDS,CKD,BLD,W/SALT;117;69,7;1,16;8,13;0,71;20,32;;0,185;0;0,006344307270233;0,1341125;0
16363;COWPEAS,COMMON,MATURE SEEDS,CKD,BLD,W/SALT;116;70,04;0,94;7,73;0,53;20,76;3,3;0,138;0;0,118470020675396;0,1314625;6,29090909090909
16368;HYACINTH BNS,MATURE SEEDS,CKD,BLD,W/SALT;117;69,13;1,46;8,14;0,58;20,7;;0,099;0;0,003365057783821;0,1343;0
16370;LENTILS,MATURE SEEDS,CKD,BLD,W/SALT;114;69,64;1,42;9,02;0,38;19,54;1,8;0,053;0;0,064029025570145;0,13345;10,8555555555556
16372;LIMA BNS,LRG,MATURE SEEDS,CKD,BLD,W/SALT;115;69,79;1,15;7,8;0,38;20,88;2,9;0,089;0;0,102856159669649;0,13085;7,2
16375;LIMA BNS,THIN SEEDED (BABY),MATURE SEEDS,CKD,BLD,W/SALT;126;67,15;1,12;8,04;0,38;23,31;;0,088;0;0,002773400567286;0,1414625;0
16377;LUPINS,MATURE SEEDS,CKD,BLD,W/SALT;116;71,08;1,14;15,57;2,92;9,29;;0,346;0;0,012455003599712;0,16135;0
16379;MOTHBEANS,MATURE SEEDS,CKD,BLD,W/SALT;117;69,23;1,45;7,81;0,55;20,96;;0,124;0;0,004229195088677;0,1329125;0
16381;MUNG BNS,MATURE SEEDS,CKD,BLD,W/SALT;105;72,66;0,79;7,02;0,38;19,15;2;0,116;0;0,07969868173258;0,1194875;9,575
16384;MUNGO BNS,MATURE SEEDS,CKD,BLD,W/SALT;105;72,51;1,06;7,54;0,55;18,34;2,01;0,038;0;0,077487703367386;0,1214;9,12437810945274
16386;PEAS,SPLIT,MATURE SEEDS,CKD,BLD,W/SALT;116;69,49;1,27;8,34;0,39;20,51;2,9;0,054;0;0,101025991792066;0,1329375;7,07241379310345
16389;PEANUTS,ALL TYPES,OIL-ROASTED,WO/ SALT;599;1,45;2,75;28,03;52,5;15,26;4,18;8,686;0;0,134314646622821;0,7574125;3,65071770334928
16390;PEANUTS,ALL TYPES,DRY-ROASTED,WO/SALT;587;1,81;2,92;24,35;49,66;21,26;4,9;7,723;0;0,132497113466989;0,7285125;4,33877551020408
16392;PEANUTS,SPANISH,OIL-ROASTED,WO/SALT;579;1,78;3,72;28,01;49,04;17,45;;7,555;0;0,07994708994709;0,7309;0
16394;PEANUTS,VALENCIA,OIL-ROASTED,WO/SALT;589;2,12;3,29;27,04;51,24;16,3;;7,894;0;0,083463734404737;0,742525;0
16396;PEANUTS,VIRGINIA,OIL-ROASTED,WO/SALT;578;2,17;3,48;25,87;48,62;19,86;;6,345;0;0,06724960254372;0,7223625;0
16397;PEANUT BUTTER,CHUNK STYLE,WO/SALT;589;1,14;3,29;24,06;49,94;21,57;8,41;7,607;0;0,167594433399602;0,7306625;2,56480380499405
16398;PEANUT BUTTER,SMOOTH STYLE,WO/SALT;598;1,23;2,89;22,21;51,36;22,31;10,49;10,325;0;0,21709428452232;0,736075;2,12678741658723
16399;PEANUT BUTTER W/ OMEGA-3,CREAMY;608;0,99;3,37;24,47;54,17;17;3,11;9,691;;0,133845671267252;0,7583875;5,46623794212219
16402;PIGEON PEAS (RED GM),MATURE SEEDS,CKD,BLD,W/SALT;121;68,55;1,06;6,76;0,38;23,25;;0,083;0;0,002731161566305;0,1332375;0
16403;REFRIED BNS,CND,TRADITIONAL,RED NA;89;77,75;1,71;4,98;2,01;13,55;0,54;0,631;0;0,057010710808179;0,1020375;25,0925925925926
16409;SOYBEANS,MATURE SEEDS,CKD,BLD,W/SALT;172;62,55;1,91;18,21;8,97;8,36;2,36;1,297;0;0,102898142937535;0,2348625;3,54237288135593
16410;SOYBEANS,MATURE SEEDS,RSTED,NO SALT ADDED;469;1,95;3,88;38,55;25,4;30,22;;3,674;0;0,039014548157587;0,6082625;0
16420;SOY PROT CONC,PRODUCED BY ACID WASH;328;5,8;4,7;63,63;0,46;25,41;20;0,052;0;0,22404469273743;0,497575;1,2705
16422;SOY PROT ISOLATE,K TYPE;321;4,98;3,58;88,32;0,53;2,59;0;0,077;0;0,00084208223972;0,5670125;0
16424;SOY SAU MADE FROM SOY&WHEAT (SHOYU),LO NA;57;75,14;9,92;9,05;0,3;5,59;0,5;0,035;0;0,035809906291834;0,080525;11,18
16425;SOY SAU,RED NA,MADE FROM HYDROLYZED VEG PROT;90;63,33;13,74;8,19;0,31;14,44;5,63;0,02;0;0,246294681778553;0,1084375;2,56483126110124
16426;TOFU,RAW,FIRM,PREP W/CA SULFATE;144;69,83;1,4;17,27;8,72;2,78;;1,261;0;0,043830378866875;0,2055625;0
16427;TOFU,RAW,REG,PREP W/CA SULFATE;76;84,55;0,72;8,08;4,78;1,87;0,62;0,691;0;0,089002036659878;0,1053125;3,01612903225806
16428;TOFU,DRIED-FROZEN (KOYADOFU),PREP W/CA SULFATE;470;5,78;3,15;52,43;30,34;8,3;;4,388;0;0,048182716591633;0,6622125;0
16429;TOFU,FRIED,PREP W/CA SULFATE;270;50,52;1,62;18,82;20,18;8,86;;2,918;0;0,060969494358546;0,35265;0
16432;TOFU,SALTED&FERMENTED (FUYU),PREP W/CA SULFATE;116;70,01;8,69;8,15;8;5,15;;1,157;0;0,054319248826291;0,15025;0
16434;YARDLONG BNS,MATURE SEEDS,CKD,BLD,W/ SALT;118;68,8;1,37;8,29;0,45;21,09;;0,116;0;0,003888702648341;0,1354;0
16436;WINGED BNS,MATURE SEEDS,CKD,BLD,W/ SALT;147;67,19;1,43;10,62;5,84;14,94;;0,825;0;0,026273885350319;0,1808;0
16500;LOMA LINDA LITTLE LINKS,CND,UNPREP;221;60;1,6;19,4;13,5;5,5;0,8;2;;0,072916666666667;0,276875;6,875
16502;LOMA LINDA LOFAT BIG FRANKS,CND,UNPREP;154;65,6;1,7;23,1;4,7;4,9;0,3;0,5;;0,024464831804281;0,20975;16,3333333333333
16504;LOMA LINDA TENDER ROUNDS W/ GRAVY,CND,UNPREP;145;69,1;1,6;16,3;5,6;7,4;1;0,7;;0,0580204778157;0,185625;7,4
16505;LOMA LINDA SWISS STAKE W/ GRAVY,CND,UNPREP;138;70,9;2;10,2;6,2;10,4;0,9;0,8;;0,063432835820896;0,16475;11,5555555555556
16506;LOMA LINDA VEGE-BURGER,CND,UNPREP;114;72;0,9;22,2;1,2;3,7;0,8;0,2;;0,03690036900369;0,164625;4,625
16507;LOMA LINDA REDI-BURGER,CND,UNPREP;146;64,8;1,9;21,9;2,8;8,2;1,2;0,4;;0,048632218844985;0,195625;6,83333333333333
16508;LOMA LINDA TENDER BITS,CND,UNPREP;135;70;2;15,1;4,6;8,3;0,6;0,7;;0,046428571428572;0,1715;13,8333333333333
16509;LOMA LINDA LINKETTS,CND,UNPREP;209;61,2;1,4;21,3;11,8;4,4;0,3;1,6;;0,050666666666667;0,267625;14,6666666666667
16510;WORTHINGTON CHILI,CND,UNPREP;126;72,8;1,7;10,4;4,5;10,9;1,3;0,7;;0,077519379844961;0,150875;8,38461538461539
16511;WORTHINGTON CHOPLETS,CND,UNPREP;103;74,1;1,4;19,4;1;4,1;0,4;0,1;;0,020408163265306;0,146625;10,25
16512;WORTHINGTON DICED CHIK,CND,UNPREP;80;79;1,9;14,7;0,7;3,7;0,1;;;0,005235602094241;0,11275;37
16513;WORTHINGTON FRICHIK ORIGINAL,CND,UNPREP;160;71,1;1,8;13,4;10,3;3,4;0,1;1,4;;0,055350553505535;0,1995;34
16514;WORTHINGTON LOFAT FRI CHIK,CND,UNPREP;102;76,4;1,9;14,3;2,7;4,9;0;0,4;;0,018264840182648;0,13475;0
16515;WORTHINGTON LOFAT VEJA-LINKS,CND,UNPREP;123;73;2,2;15,8;4,8;4,3;0,7;0,7;;0,056224899598394;0,162875;6,14285714285714
16516;WORTHINGTON MULTIGRAIN CUTLETS,CND,UNPREP;117;66,69;1,22;23,29;1,5;7,3;0,2;0,3;0;0,015581177937052;0,1879375;36,5
16517;WORTHINGTON PRIME STAKES,CND,UNPREP;135;73,4;1,7;10,2;7,2;7,5;0,3;1;;0,052208835341366;0,163875;25
16518;WORTHINGTON SAUCETTES,CND,UNPREP;219;62,4;1,8;15;15,2;5,6;0,2;;;0,005586592178771;0,26675;28
16519;WORTHINGTON SUPER LINKS,CND,UNPREP;219;62,1;2,5;14,5;15,5;5,5;0,6;2,1;;0,076056338028169;0,26625;9,16666666666667
16521;WORTHINGTON VEG SKALLOPS,CND,UNPREP;109;73;1,4;19,9;1,2;4,6;0,3;0,2;;0,019455252918288;0,153625;15,3333333333333
16522;WORTHINGTON VEG STEAKS,CND,UNPREP;113;71,8;1,3;20,7;1,2;5,1;0,5;;;0,018518518518519;0,1605;10,2
16523;WORTHINGTON VEGETARIAN BURGER,CND,UNPREP;124;70,7;1,8;18,6;2,9;6,2;0,6;0,5;;0,03971119133574;0,1685;10,3333333333333
16524;WORTHINGTON VEJA-LINKS,CND,UNPREP;155;70,4;2;14,6;8,9;4,1;0,5;1,3;;0,065217391304348;0,195625;8,2
16525;WORTHINGTON CHIC-KETTS,FRZ,UNPREP;200;59,1;2,5;23,6;9,7;5,1;0,1;1,5;0;0,041666666666667;0,263625;51
16526;WORTHINGTON MEATLESS CHICK ROLL,FRZ,UNPREP;154;68;3,6;16,1;8;4,3;0,8;1,2;;0,070422535211268;0,19675;5,375
16527;WORTHINGTON MEATLESS CORNED BF ROLL,FRZ,UNPREP;245;54,1;2,9;18,6;14,5;9,9;2,1;2,3;;0,102325581395349;0,298375;4,71428571428571
16528;WORTHINGTON DINNER RST,FRZ,UNPREP;213;61,7;1,9;16;13,5;6,9;1;2,4;;0,093406593406593;0,260875;6,9
16529;WORTHINGTON FRIPATS,FRZ,UNPREP;209;56,8;2,4;23,7;9,1;8;1,4;1,4;;0,068627450980392;0,269125;5,71428571428571
16531;WORTHINGTON PROSAGE LINKS,FRZ,UNPREP;143;67,5;2,6;20,2;4,7;5;0,8;0,9;;0,05685618729097;0,192;6,25
16532;WORTHINGTON PROSAGE ROLL,FRZ,UNPREP;261;54,4;2,4;19,6;17,6;6;0,2;3,4;;0,083333333333333;0,321;30
16533;WORTHINGTON SMOKED TURKEY ROLL,FRZ,UNPREP;251;53,7;3,7;18,5;16,1;7,9;2,4;2,3;;0,110588235294118;0,30625;3,29166666666667
16534;WORTHINGTON STAKELETS,FRZ,UNPREP;211;57,5;2,9;19,7;10,4;9,6;1,2;1,8;;0,075566750629723;0,263125;8
16535;WORTHINGTON STRIPPLES,FRZ,UNPREP;346;41,9;4,8;12,4;26,6;14,3;0,8;4,2;;0,093808630393996;0,397125;17,875
16536;WORTHINGTON WHAM (ROLL),FRZ,UNPREP;196;62,1;3,1;17,8;11,3;5,7;3,2;1,6;;0,137931034482759;0,245625;1,78125
16538;MORNINGSTAR FARMS BRKFST PATTIE W/ ORGANIC SOY,FRZ,UNPREP;220;54,1;1,3;23,7;8,3;12,6;2,2;1;0;0,071748878923767;0,278375;5,72727272727273
16542;MORNINGSTAR FARMS BRKFST BACON STRIPS,FRZ,UNPREP;346;41,9;4,8;12,4;26,6;14,3;0,8;4,2;;0,093808630393996;0,397125;17,875
16546;MORNINGSTAR FARMS BRKFST SAUSAGE LINKS,FRZ,UNPREP;159;64;3,9;19,2;6,1;6,8;1;0,7;;0,052959501557632;0,2065;6,8
16548;MORNINGSTAR FARMS GRILLERS ORIGINAL,FRZ,UNPREP;213;55,6;2,7;23,9;9,3;8,5;1,2;1,7;;0,069544364508393;0,27425;7,08333333333333
16549;MORNINGSTAR FARMS GRILLERS PRIME,FRZ,UNPREP;238;54,3;2,6;24;13,2;5,9;0,3;1,6;;0,044083526682135;0,304125;19,6666666666667
16551;MORNINGSTAR FARMS ASIAN VEGGIE PATTIES,FRZ,UNPREP;158;61,3;2,9;11,4;6,2;18,2;5;0,9;;0,164804469273743;0,2015;3,64
16552;MORNINGSTAR FARMS MUSHROOM LOVER'S BURGER,FRZ,UNPREP;168;66,8;1,5;14,3;8,2;9,2;0,5;1,1;;0,050473186119874;0,205875;18,4
16554;MORNINGSTAR FARMS TOMATO & BASIL PIZZA BURGER,FRZ,UNPREP;161;59,9;2;15,5;8,6;14;2,6;2,5;;0,133858267716535;0,235375;5,38461538461538
16555;MORNINGSTAR FARMS BUFFALO WINGS,FRZ,UNPREP;232;49,3;3;14,1;11;22,6;2,8;1,7;;0,09433962264151;0,282875;8,07142857142857
16556;MORNINGSTAR FARMS CHIK'N NUGGETS,FRZ,UNPREP;221;50,9;2,9;14,4;10;21,8;2,2;1,5;;0,08008658008658;0,27175;9,90909090909091
16557;MORNINGSTAR FARMS CHIK PATTIES,FRZ,UNPREP;197;54;4,3;11,8;7;22,9;2;0,8;;0,067146282973621;0,229625;11,45
16558;MORNINGSTAR FARMS ITALIAN HERB CHIK'N PATTIE,FRZ,UNPREP;236;46,9;1,4;13,6;7;31,1;1,5;0,8;;0,044487427466151;0,271625;20,7333333333333
16560;MORNINGSTAR FARMS CORN DOG,FRZ,UNPREP;208;47,4;1,9;11,2;3,5;36;11;0,6;;0,22879684418146;0,24;3,27272727272727
16561;MORNINGSTAR FARMS CORN DOG MINI,FRZ,UNPREP;219;47,4;2,1;13,2;4,7;32,6;8;0,8;;0,174257425742574;0,25175;4,075
16565;MORNINGSTAR FARMS SAUSAGE STYLE RECIPE CRUMBLES,FRZ,UNPREP;159;62;3,3;20,2;4,6;9,9;1,4;0,5;;0,054755043227666;0,209375;7,07142857142857
16570;GARDENBURGER BLACK BEAN CHIPOTLE BURGER,FRZ,UNPREP;133;65,5;2,1;6,5;3,9;22;3,6;0,4;;0,123456790123457;0,162125;6,11111111111111
16579;GARDENBURGER ORIGINAL,FRZ,UNPREP;155;61,9;4,2;7,2;4,6;22,1;0,6;2,4;;0,088495575221239;0,173875;36,8333333333333
16581;GARDENBURGER FLAME GRILLED BURGER,FRZ,UNPREP;122;71,4;2,2;15,2;4,4;6,8;0,4;0,4;;0,03030303030303;0,1645;17
16584;GARDENBURGER SAVORY PORTABELLA VEGGIE BURGER,FRZ,UNPREP;138;65,5;3,2;5,9;3,3;22,1;1,2;1,1;;0,073482428115016;0,15275;18,4166666666667
16585;GARDENBURGER SUN-DRIED TOMATO BASIL BURGER,FRZ,UNPREP;137;65,5;1,7;5,5;3,6;23,7;2,6;1;;0,109756097560976;0,15925;9,11538461538462
16586;GARDENBURGER VEGGIE MEDLEY BURGER,FRZ,UNPREP;121;66;2,3;4,1;3,6;24;2;0,4;;0,075709779179811;0,151625;12
16587;MORNINGSTAR FARMS BRKFST SAUSAGE PATTIES MPL FLAV,FRZ,UNPR;222;51,6;1,3;26,3;7,2;13,6;5,9;0,9;;0,144373673036093;0,287375;2,30508474576271
16588;MORNINGSTAR FARMS CHIK'N GRILL VEGGIE PATTIES,FRZ,UNPREP;118;70,8;1,4;12,8;4,8;10,2;0,2;0,4;0;0,02158273381295;0,16625;51
16590;MORNINGSTAR FARMS BBQ RIBLETS,FRZ,UNPREP;150;59,5;2,2;11,4;2,3;24,6;17,2;0,3;;0,456919060052219;0,1865;1,43023255813954
16591;WORTHINGTON LEANIES,FRZ,UNPREP;251;54,3;3,6;19,5;16,5;6,1;1,2;2,8;;0,095011876484561;0,30975;5,08333333333333
16592;MORNINGSTAR FARMS CALIFORNIA TURK'Y BURGER,FRZ,UNPREP;155;62,6;2,2;14,9;7,7;12,6;1,8;0,8;;0,073863636363636;0,217375;7
16593;MORNINGSTAR FARMS HOT&SPICY VEGGIE SAUSGE PATTIES,FRZ,UNPREP;185;59,8;2,5;21,8;7,4;8,5;0,2;0,9;;0,029177718832891;0,242125;42,5
16594;MORNINGSTAR FARMS LASAGNA W/ VEGGIE SAUSAGE,FRZ,UNPREP;96;75;1,2;7,1;2,3;14,4;1,7;1;;0,113445378151261;0,121375;8,47058823529412
16596;MORNINGSTAR FARMS GRILLERS QRTR PND VEGGIE BRGR,FRZ,UNPRP;219;55,6;2,2;22,8;10,5;8,9;0,6;1,9;;0,059241706161138;0,280875;14,8333333333333
16600;MORNINGSTAR FARMS SESAME CHIK'N ENTREE,FRZ,UNPREP;116;73,1;0,8;5,3;3,5;17,3;6;0,4;0;0,245210727969349;0,133;2,88333333333333
16601;MORNINGSTAR FARMS GRILLERS CHIK'N VEGGIE PATTIES,FRZ,UNPREP;118;70,8;1,4;12,8;4,8;10,2;0,2;0,4;;0,02158273381295;0,16625;51
16602;MORNINGSTAR FARMS MEAL STARTERS VEGGIE MEATBALLS,FRZ,UNPREP;158;64;2,6;17,7;5,8;9,9;1,1;0,7;;0,053892215568862;0,20575;9
16603;MORNINGSTAR FARMS BRKFST BISCUIT SAUSAGE,EGG & CHS,FRZ,UNPRE;257;42,9;2,2;9,3;8,1;37,5;4;4,2;;0,14936247723133;0,27975;9,375
16606;MORNINGSTAR FARMS MEDITERRANEAN CHICKPEA,FRZ,UNPREP;200;56,4;1,8;15,5;6,5;19,8;1,1;0,9;0;0,047846889952153;0,236125;18
16607;MORNINGSTAR FARMS BUFFALO CHIK PATTIES,FRZ,UNPREP;255;48,8;1,1;12,1;12,8;25,2;3;1,9;;0,097804391217565;0,298125;8,4
16608;MORNINGSTAR FARMS CHIK PATTIES ORIGINAL,FRZ,UNPREP;197;55,5;3,7;11,2;9,1;20,5;2;1,3;;0,080882352941177;0,237875;10,25
16609;MORNINGSTAR FARMS BRKFST PATTIE,FRZ,UNPREP;195;54,1;1,3;23,7;8,3;12,6;2,2;1;;0,071748878923767;0,278375;5,72727272727273
16610;MORNINGSTAR FARMS RSTD GARLIC & QUINOA BURGER,FRZ,UNPREP;192;58,1;1,3;10,7;12,1;17,8;2,1;1,2;;0,08128078817734;0,254625;8,47619047619048
16611;MORNINGSTAR FARMS PARMESAN GARLIC WINGS,FRZ,UNPREP;227;50,4;2,7;14,2;8,6;24,1;1,3;1,2;;0,053304904051173;0,265125;18,5384615384615
16613;MORNNGSTR FRMS BRKFST SNDWCH SSGE EGG&CHS ENG MUFF,FRZ,UNPRP;205;54,8;2,8;14,3;9,4;18,7;1,1;3,1;;0,099056603773585;0,2535;17
